service_request_id,status,status_notes,service_name,service_code,requested_datetime,updated_datetime,address,lat,long,token,description
25-00040424,closed,"Issue Has Been Resolved - Close SR. Monitored intersections through live graphics and historical timing values, and verified that detection was working at the intersection. The traffic signal is working correctly and according to plan. We will keep monitoring signal operations. Thanks.",Traffic Signal - Maintenance,TRASIGMA,2025-02-06T18:42:22Z,2025-02-06T19:28:15Z,"E Slaughter Ln & Thaxton Rd, Austin",30.1452256,-97.73007504,32359e92-cbbf-4cff-a546-7f9728f60ab6,
25-00040135,open,Issue Has Been Resolved - Close SR.,Traffic Signal - Maintenance,TRASIGMA,2025-02-06T15:52:00Z,2025-02-06T18:58:31Z,"Red River St & E 32nd St, austin",30.29105249,-97.72715283,93e0ed3d-5071-42da-81e9-3d3612467a58,
25-00040335,closed,,Traffic Signal - Maintenance,TRASIGMA,2025-02-06T17:45:53Z,2025-02-06T18:57:59Z,"Red River St & E 32nd St, austin",30.29105249,-97.72715283,03cdd51d-551d-42d5-96a7-486498c6a989,
25-00040311,open,Completed.,Traffic Signal - Maintenance,TRASIGMA,2025-02-06T17:28:26Z,2025-02-06T18:12:51Z,"Guadalupe St & W 41st St, Austin",30.30639002,-97.73579638,fd64c18b-a319-4a9e-b958-5cb4f33d937a,
25-00040273,closed,"Issue Has Been Resolved - Close SR. Hello,Thanks for reporting the issue concern at Enfield and W Lynn. We currently have crews out at the intersection working on updating the infrastructure. The signal is currently turned off and stop signs have been deployed as a temporary traffic control measure while the work is being done. Thanks.",Traffic Signal - Maintenance,TRASIGMA,2025-02-06T17:03:34Z,2025-02-06T17:47:10Z,"Enfield Rd & West Lynn St, Austin",30.2827744,-97.75781634,4b022909-bc79-4f54-b958-314eaceb281d,
25-00040172,closed,"Issue Has Been Resolved - Close SR. Monitored intersections through live graphics and historical timing values, and verified that detection was working at the intersection. This intersection experiences heavy congestion during AM period and the westbound approach is the major approach and the timings reflect that. The traffic signal is working correctly and according to plan. We will keep monitoring signal operations. Thanks.",Traffic Signal - Maintenance,TRASIGMA,2025-02-06T16:07:52Z,2025-02-06T17:27:13Z,"10900 Research Blvd SB, Austin",30.40416855,-97.74566756,89845968-e9d4-4c06-9cff-8ceb59f9e6cd,
25-00040658,open,,Parking Violation Enforcement,PARKINGV,2025-02-06T21:13:01Z,2025-02-06T21:13:11Z,"5006 Shoal Creek Blvd, Austin",30.32415592,-97.74492312,ce220599-6833-474a-a2c9-0305b51cea99,pickup parked in bikelane
25-00040652,open,,Parking Violation Enforcement,PARKINGV,2025-02-06T21:11:06Z,2025-02-06T21:11:14Z,"2505 Bluebonnet Ln, Austin",30.24576214,-97.77671318,c45f0df1-46e4-45c6-8838-06cecbd0d1ec,Two pickups in tow away zone
25-00040651,open,,Parking Violation Enforcement,PARKINGV,2025-02-06T21:10:55Z,2025-02-06T21:11:01Z,"11903 Rennalee Loop, Austin",30.3870158,-97.6797849,d1ae81bf-c4a9-470b-9274-35d5388d1ce5,"-- auto translated (en-US) --
I’m requesting that the City of Austin please tow the junked nuisance vehicle at 11903 Rennalee Loop with the license plate BN5 Z735. 48-hour notice stickers were placed on it on 12/7 and 12/20, but the vehicle still has not been towed.
-- original (en-US) --
I’m requesting that the City of Austin please tow the junked nuisance vehicle at 11903 Rennalee Loop with the license plate BN5 Z735. 48-hour notice stickers were placed on it on 12/7 and 12/20, but the vehicle still has not been towed."
25-00040331,closed,No Problem Found - Close SR.,Parking Violation Enforcement,PARKINGV,2025-02-06T17:43:21Z,2025-02-06T21:00:16Z,"4607 Bull Creek Rd, Austin",30.32264146,-97.75211882,14f0f7d4-5ccc-43a6-badb-d6523c036c23,Bartlett Tree Experts blocking protected bike lane
25-00040627,open,,Parking Violation Enforcement,PARKINGV,2025-02-06T20:54:50Z,2025-02-06T20:54:55Z,"2019 Cheshire Dr, Austin",30.31004016,-97.68790878,390a0e5c-83e9-44d8-a989-643956cf8e6b,Parking violation:  blocking fire hydrant
25-00040484,closed,Cite Vehicle(s)-Close SR. 3 vehicles have been cited.,Parking Violation Enforcement,PARKINGV,2025-02-06T19:18:08Z,2025-02-06T20:28:16Z,"74 Trinity St, Austin",30.26160693,-97.74143592,34641268-e490-41af-9742-fe921b1baa65,Unattended vehicle blocking fire exit from building my wife works in
25-00040395,closed,No Problem Found - Close SR.,Parking Violation Enforcement,PARKINGV,2025-02-06T18:23:42Z,2025-02-06T20:27:44Z,"2421 Bluebonnet Ln, Austin",30.24661978,-97.7771613,991b55dd-d0b7-48e1-a1a3-178b48c6ccaf,White pickup trucks parked in tow away
25-00040581,open,,Parking Violation Enforcement,PARKINGV,2025-02-06T20:22:33Z,2025-02-06T20:22:36Z,"1100 W 22nd Half St, Austin",30.28655604,-97.74965581,2649e336-e8d4-49ce-9284-cbf4b7b9de8a,In tow away zone 
25-00040568,open,,Parking Violation Enforcement,PARKINGV,2025-02-06T20:16:32Z,2025-02-06T20:16:44Z,"5623 Shoal Creek Blvd, Austin",30.33401485,-97.74911153,3fbc8790-ad80-4a6c-83fd-710cf4bc1472,Trucks parked in bike lane
25-00040483,closed,Cite Vehicle(s)-Close SR. 4 vehicles have been cited.,Parking Violation Enforcement,PARKINGV,2025-02-06T19:18:05Z,2025-02-06T20:02:16Z,"201 W 5th St, Austin",30.26740964,-97.74481967,8b32e61a-0cc6-4850-a982-51a7286e2bd0,"Multiple vehicles are parked in the alley ""no parking - tow away"" zone right now blocking delivery and emergency vehicle pass through access. The alley is located behind the Plains Capital Bank building between 4th Street & 5th Street."
25-00040240,closed,Completed - Closed. Resolved by company.,Shared Micromobility,DOCKMOBI,2025-02-06T16:46:54Z,2025-02-06T21:09:13Z,"2220 Pearl St, Austin",30.28682112,-97.74631485,c24db5de-0f6f-46ec-a5bb-e48ce2e95bee,Scooter fallen over 
25-00040410,closed,Completed - Closed. Resolved by company.,Shared Micromobility,DOCKMOBI,2025-02-06T18:31:55Z,2025-02-06T21:08:51Z,"2220 Pearl St, Austin",30.28682112,-97.74631485,28548ba9-84b9-464f-961a-1f5d05f44e89,Scooter fallen over 
25-00040070,closed,Completed - Closed. Resolved by company.,Shared Micromobility,DOCKMOBI,2025-02-06T15:16:14Z,2025-02-06T19:59:21Z,"1621 E 6th St, Austin",30.26261557,-97.72518609,5fe7f0df-c31a-459a-9a43-82811d7c2261,Bird scooter down blocking street 1 hr correction please
25-00040115,closed,Completed - Closed. Resolved by company.,Shared Micromobility,DOCKMOBI,2025-02-06T15:36:29Z,2025-02-06T19:58:45Z,"1621 E 6th St, Austin",30.26244992,-97.72504896,c6ee786f-484a-457e-ab55-c8699cf23c1f,3 bird scooters down not blocking 3 orange 3 gray
25-00040164,closed,Completed - Closed. Resolved by company.,Shared Micromobility,DOCKMOBI,2025-02-06T16:04:34Z,2025-02-06T19:58:14Z,"210 Robert T Martinez Jr St, Austin",30.2576525,-97.72017166,a0754aa2-1a75-40a0-96d7-0080ba7b9a11,Stand-up scooter on school sidewalk
25-00040168,closed,Completed - Closed. Resolved by Company.,Shared Micromobility,DOCKMOBI,2025-02-06T16:06:36Z,2025-02-06T17:17:13Z,"2129 E 4th St, Austin",30.25820405,-97.71967277,1c7274b3-5853-4c3d-85bb-52b0c23e27a3,Stand up scooter in front of school on sidewalk
25-00040147,closed,Completed - Closed. Resolved by Company.,Shared Micromobility,DOCKMOBI,2025-02-06T15:56:32Z,2025-02-06T17:16:47Z,"1202 Brazos St, Austin",30.27363093,-97.73888127,7d886d12-b1b1-4c84-9b0c-54ad0fba7d29,
25-00040043,closed,Completed - Closed. Resolved by company.,Shared Micromobility,DOCKMOBI,2025-02-06T14:58:06Z,2025-02-06T15:42:15Z,"1109 W 22nd Half St, Austin",30.28654666,-97.75041964,e9a70c7f-59f7-4e1e-98bb-24f1404355ac,3 scooters in middle of sidewalk 
25-00040011,closed,Completed - Closed. Resolved by company.,Shared Micromobility,DOCKMOBI,2025-02-06T14:35:55Z,2025-02-06T15:41:11Z,"2500 San Gabriel St, Austin",30.28946146,-97.74777599,1ff0f247-3e59-4d6c-961b-a722f8747130,Scooter fell over
25-00039684,closed,Completed - Closed. Resolved by company.,Shared Micromobility,DOCKMOBI,2025-02-06T01:05:45Z,2025-02-06T15:40:12Z,"1107 E 10th St, Austin",30.26808292,-97.7289885,8686179c-67f0-4c24-afd7-16d14b0393d6,Lime scooter blocking sidewalk at 1107 E 10th St short term rental
25-00040467,closed,"Hazard Repaired - Close SR. Class: WORKORDERCreated By: Log Type: HAZARD_REPAIREDSummary: Street and Bridge Operations completed request.DetailsThank you for your request. Street and Bridge Operations reviewed and completed your request. If you have any questions regarding this request, please contact Street and Bridge Operations Dispatch at (512) 974-8777 and provide work order number 25-185327 as a reference.",Pothole Repair,SBPOTREP,2025-02-06T19:07:58Z,2025-02-06T20:12:42Z,"6507 Nasco Dr, Austin",30.34307214,-97.74181237,7cfbf6fb-2338-4657-8ba9-74b4babc3293,
25-00038201,closed,"Hazard Repaired - Close SR. Class: WORKORDERCreated By: Log Type: HAZARD_REPAIREDSummary: Street and Bridge Operations completed request.DetailsThank you for your request. Street and Bridge Operations reviewed and completed your request. If you have any questions regarding this request, please contact Street and Bridge Operations Dispatch at (512) 974-8777 and provide work order number 25-185246 as a reference.",Pothole Repair,SBPOTREP,2025-02-04T23:53:23Z,2025-02-06T20:12:19Z,"3402 Guadalupe St, Austin",30.30036864,-97.73987899,1ed6e6ec-b9ba-4130-860d-b29784f4ee01,Pothole on EB 34th St at Guadalupe
25-00040253,closed,"Future Maintenance Planned - Close SR. Class: WORKORDERCreated By: Log Type: FUTURE_MAINTPLANSummary: Pavement failure from bridge on wasson ln to 4900 s. Congress aveDetailsFUTURE_MAINTPLAN     Details    Thank you for your request. Street and Bridge Operations has reviewed your request and confirmed that the location provided has been forecast for future maintenance. If you have any questions regarding this request, please contact Street and Bridge Operations Dispatch at (512) 974-8777 and provide work order number 25-185317 as a reference.",Pothole Repair,SBPOTREP,2025-02-06T16:54:18Z,2025-02-06T19:52:18Z,"5000 Wasson Rd, Austin",30.2105222,-97.77140615,66272c96-a80a-445f-9454-1bdb3978ca43,
25-00040365,closed,"Future Maintenance Planned - Close SR. Class: WORKORDERCreated By: Log Type: FUTURE_MAINTPLANSummary: Street and Bridge Operations completed request, internal workgroup notified.(Pavement Failure)DetailsPavement Failure stretching 3 blocks along the curb line. No potholes. Pavement chipping away. Thank you for your request. Street and Bridge Operations completed your request and has notified the appropriate Street and Bridge Operations workgroup for follow-up, if any. If you have any questions regarding this request, please contact Street and Bridge Operations Dispatch at (512) 974-8777 and provide work order number 25-185325 as a reference.",Pothole Repair,SBPOTREP,2025-02-06T18:06:34Z,2025-02-06T19:40:14Z,"Lake Creek Pkwy & Deerbrook Trl, Austin",30.45693763,-97.80888555,bb1d1350-dbf9-44c4-ae2e-f12d02ce837b,
25-00040187,closed,"Hazard Repaired - Close SR. Class: WORKORDERCreated By: Log Type: HAZARD_REPAIREDSummary: Street and Bridge Operations completed request.DetailsThank you for your request. Street and Bridge Operations reviewed and completed your request. If you have any questions regarding this request, please contact Street and Bridge Operations Dispatch at (512) 974-8777 and provide work order number 25-185313 as a reference.",Pothole Repair,SBPOTREP,2025-02-06T16:14:08Z,2025-02-06T17:31:11Z,"La Crosse Ave & Escarpment Blvd, Austin",30.19398595,-97.88487802,bea1bdc8-e695-4a61-9cdf-324126795149,
25-00040291,open,,Pothole Repair,SBPOTREP,2025-02-06T17:16:19Z,2025-02-06T17:21:53Z,"1305 Bluff St, Austin",30.25869144,-97.75994491,49601e12-5aba-4475-ae80-41a51fbff33c,
25-00039942,closed,"Future Maintenance Planned - Close SR. Class: WORKORDERCreated By: Log Type: FUTURE_MAINTPLANSummary: Pavement failure on 10600 spruce canyon rd and cateran drDetailsFUTURE_MAINTPLAN     Details    Thank you for your request. Street and Bridge Operations has reviewed your request and confirmed that the location provided has been forecast for future maintenance. If you have any questions regarding this request, please contact Street and Bridge Operations Dispatch at (512) 974-8777 and provide work order number 25-185303 as a reference.",Pothole Repair,SBPOTREP,2025-02-06T13:49:52Z,2025-02-06T17:19:14Z,"Spruce Canyon Dr & La Crosse Ave, Austin",30.19257772,-97.90965259,2e1c1380-1c2e-4677-9429-ec0d583789b7,
25-00039504,closed,"Hazard Repaired - Close SR. Class: WORKORDERCreated By: Log Type: HAZARD_REPAIREDSummary: Street and Bridge Operations completed request.DetailsThank you for your request. Street and Bridge Operations reviewed and completed your request. If you have any questions regarding this request, please contact Street and Bridge Operations Dispatch at (512) 974-8777 and provide work order number 25-185294 as a reference.",Pothole Repair,SBPOTREP,2025-02-05T22:48:45Z,2025-02-06T15:16:11Z,"3222 Enfield Rd, Austin",30.29321625,-97.77740704,fbd30ce2-2051-452d-8aa0-cdfc5ac9471a,Pothole in road on Enfield and Pecos. 
25-00039311,closed,"Hazard Repaired - Close SR. Class: WORKORDERCreated By: Log Type: HAZARD_REPAIREDSummary: Street and Bridge Operations completed request.DetailsThank you for your request. Street and Bridge Operations reviewed and completed your request. If you have any questions regarding this request, please contact Street and Bridge Operations Dispatch at (512) 974-8777 and provide work order number 25-185287 as a reference.",Pothole Repair,SBPOTREP,2025-02-05T20:47:55Z,2025-02-06T13:37:13Z,"2215 E 6th St, Austin",30.25964002,-97.71790255,46d9a20e-4079-4e38-90d8-bd3be1b31178,Pothole 4 inches deep and 6 inches across on the westbound lane at 2235 E 6th Street 
24-00343568,closed,"Inspector Unable to Locate Issue - Close SR. Class: WORKORDERCreated By: Log Type: NO_ISSUE_FOUNDSummary: No issue found.DetailsThank you for your request. Street and Bridge Operations reviewed your request and determined that there is no issue found. If you have any questions regarding this request, please contact Street and Bridge Operations Dispatch at (512) 974-8777 and provide work order number 24-180373 as a reference.",Pothole Repair,SBPOTREP,2024-09-18T16:59:44Z,2025-02-05T21:25:40Z,"1933 SOUTH Lakeshore Blvd, Austin",30.24479635,-97.72554231,b2e5c088-006e-460c-be9d-d62bb7485c4b,Pothole on lakeshore drive 
25-00038641,closed,"Debris Removed - Close SR. Class: WORKORDERCreated By: Log Type: DEBRIS_REMOVEDSummary: Street and Bridge Operations removed debris.DetailsThank you for submitting your request. Street and Bridge Operations reviewed your request and cleared the debris. If you have any questions regarding this request, please contact Street and Bridge Operations Dispatch at (512) 974-8777 and provide work order number 25-185261 as a reference.",Debris in Street,SBDEBROW,2025-02-05T14:54:55Z,2025-02-06T21:06:46Z,"1901 S L Davis Ave, Austin",30.2705643,-97.71905015,7423489a-834f-47ae-8f66-a96d2dc87502,
25-00038637,closed,"No Action Needed - Private Property - Close SR. Class: WORKORDERCreated By: Log Type: NOACTION_PVTPROPSummary: DebrisDetailsThank you for your request. SBO reviewed and completed your request. The property owner has been notified for final resolution. If you have any questions regarding this request, please contact SBO Dispatch at (512) 974-8777 and provide work order number25-185260.",Debris in Street,SBDEBROW,2025-02-05T14:52:03Z,2025-02-06T20:58:41Z,"5020 Shoal Creek Blvd, Austin",30.32512202,-97.7449745,8adb0dd6-713c-4116-8997-02ed08ef0d20,Private construction Gravel pile blocking bike lane 
25-00040560,open,,Debris in Street,SBDEBROW,2025-02-06T20:10:29Z,2025-02-06T20:15:52Z,"2001 N Lamar Blvd, Austin",30.28496593,-97.75269723,9b96b18f-5010-47b1-8c59-8f24769f4107,
25-00040297,closed,"No Problem Found - Close SR. Class: WORKORDERCreated By: Log Type: NO_PROBLEMSummary: Active Homeless Encampment living under the tree throwing out debri.DetailsThank you for your request. Street and Bridge Operations completed your request and hasnotified the appropriate Street and Bridge Operations workgroup for follow-up, if any. If youhave any questions regarding this request, please contact Street and Bridge Operations Dispatch at (512) 974-8777 and provide work order number 25-185321 as a reference.",Debris in Street,SBDEBROW,2025-02-06T17:21:53Z,2025-02-06T19:44:14Z,"Crown Ridge Rd & E Rundberg Ln, Austin",30.35497665,-97.68282884,8b3e9b90-888b-43a0-83d0-b3ad66ef23e1,
25-00040432,closed,Non COA Jurisdiction - Close SR. Class: SRCreated By: Log Type: NOT_COAJURISDSummary: Not in COA Jurisdiction.DetailsThank you for your request. Street and Bridge Operations reviewed your request and determined that this is outside of City of Austin jurisdiction. This area is covered by TxDOT.,Debris in Street,SBDEBROW,2025-02-06T18:47:49Z,2025-02-06T19:22:13Z,"10205 S Mopac Expy Svrd NB, Austin",30.19056355,-97.87307722,611ee9d0-4443-4151-b75d-859301b47d7f,debris on road
25-00040405,closed,Referred to 311 For Further Review - Close SR. Class: SRCreated By: Log Type: CSR_FEEDBACKSummary: Routed to 3-1-1 for reassignment.DetailsThank you for your request. Street and Bridge Operations forwarded this request back to 3-1-1 for the appropriate department assignment.,Debris in Street,SBDEBROW,2025-02-06T18:29:47Z,2025-02-06T18:51:44Z,"5511 William Holland Ave, Austin",30.32902815,-97.73710863,adcd8e8f-9f0e-45de-a32a-a20c20348cb2,
25-00040060,closed,"Debris Removed - Close SR. Class: WORKORDERCreated By: Log Type: DEBRIS_REMOVEDSummary: Street and Bridge Operations removed debris.DetailsThank you for submitting your request. Street and Bridge Operations reviewed your request and cleared the debris. If you have any questions regarding this request, please contact Street and Bridge Operations Dispatch at (512) 974-8777 and provide work order number 25-185310 as a reference.",Debris in Street,SBDEBROW,2025-02-06T15:10:52Z,2025-02-06T18:21:49Z,"2206 Billy Fiske Ln, Austin",30.15274864,-97.83858202,0dc69dde-1012-45fe-8a0f-498f14d5c869,
24-00367496,closed,No Problem Found - Close SR. Class: SRCreated By: Log Type: NO_PROBLEMSummary: No action neededDetailsPer 311 service request needs to be cancelled.,Debris in Street,SBDEBROW,2024-10-07T23:29:44Z,2025-02-06T17:59:10Z,"10219 River Plantation Dr, Austin",30.14664902,-97.78207016,038f9a17-a6af-49e6-a495-bd2225d133d1,
25-00040340,open,,Debris in Street,SBDEBROW,2025-02-06T17:53:26Z,2025-02-06T17:53:29Z,"1621 Wilshire Blvd, Austin",30.29781374,-97.7089361,63897d17-585a-4ab9-ac47-6689906240f5,Debris on Airport Blvd and Aldrich St
25-00040338,open,,Debris in Street,SBDEBROW,2025-02-06T17:51:34Z,2025-02-06T17:51:44Z,"1751 Schieffer Ave, Austin",30.29419228,-97.70775527,9efdc0fa-1b3d-4193-83ed-b8467ea3ee6f,Road debris: large rocks and dirt dumped on Airport Blvd at Zach Scott St
25-00040488,closed,Issue Has Been Resolved - Close SR. Reinstalled knocked down stop sign. Will have new street signs made.,Traffic Sign Maintenance,SIGNTRA1,2025-02-06T19:20:04Z,2025-02-06T21:16:44Z,"9500 Stonebridge Dr, Austin",30.36893102,-97.70470132,f308e916-4216-4e68-93bf-5828d925eefb,Mangled STOP sign
25-00040350,closed,Issue Has Been Resolved - Close SR.,Traffic Sign Maintenance,SIGNTRA1,2025-02-06T17:57:14Z,2025-02-06T19:07:43Z,"5212 Mount Bonnell Rd, Austin",30.33645213,-97.77626149,b3379a71-1794-4597-b77d-1f11fbc633d0,
25-00040213,closed,Issue Has Been Resolved - Close SR.,Traffic Sign Maintenance,SIGNTRA1,2025-02-06T16:32:50Z,2025-02-06T18:47:41Z,"2432 S 5th St, Austin",30.24199015,-97.76484834,f82996b6-5e20-491c-860f-aca936f1d315,"Speed hump signs in place after humps

 were removed"
25-00039397,closed,Issue Has Been Resolved - Close SR.,Traffic Sign Maintenance,SIGNTRA1,2025-02-05T21:38:22Z,2025-02-06T17:37:12Z,"48 East Ave, Austin",30.25656679,-97.73854818,e478faa8-a840-497d-a49c-28eee265ee71,Sign is pay to park but it blocks handicap ramp 
25-00040290,open,Completed. Thank you for your request. We will dispatch a technician to field check this location.,Traffic Sign Maintenance,SIGNTRA1,2025-02-06T17:15:31Z,2025-02-06T17:32:52Z,"300 E Huntland Dr, Austin",30.33123067,-97.71010361,65ca79a8-8acc-43c0-991d-1ab186e84cb1,
25-00025508,closed,"Issue Has Been Resolved - Close SR. All signs going east towards Sandra muraida are good, was not able to pull up pic.",Traffic Sign Maintenance,SIGNTRA1,2025-01-24T20:01:23Z,2025-02-06T16:12:46Z,"908 W Cesar Chavez St, Austin",30.26647369,-97.75554803,5db44c45-2358-4cc8-950d-460d82e526d5,"Straighten out Yellow Chevrons, Replace/Clean Warning Faded signs, and Replace Cracked and Faded Informational Sign."
25-00040058,open,Completed. Thank you for your request. We will dispatch a technician to field check this location.,Traffic Sign Maintenance,SIGNTRA1,2025-02-06T15:09:13Z,2025-02-06T15:23:54Z,"1212 W Parmer Ln, Austin",30.40877572,-97.68037862,29b093dc-17f6-495c-a768-f941e9fe8d06,
25-00039325,closed,Issue Has Been Resolved - Close SR.,Traffic Sign Maintenance,SIGNTRA1,2025-02-05T20:58:33Z,2025-02-06T14:37:41Z,"W 35th St & W 35th Eb to Mopac Nb Ramp, Austin",30.30883151,-97.75633161,ed8ef8cc-980d-462f-b0c3-54be8fbe2663,
25-00039933,open,Completed. Thank you for your request. We will dispatch a technician to field check this location.,Traffic Sign Maintenance,SIGNTRA1,2025-02-06T13:45:33Z,2025-02-06T14:12:29Z,"1005 W Annie St, Austin",30.24920357,-97.76154314,a5f478ec-2ecf-4e44-a4d2-738925b139e3,Crosswalk sign missing. I keep reporting this and it keeps falling down and going missing. It needs to be moved to a different location. The bus and large vehicles cannot make this turn and this will keep happening.
25-00039261,open,Completed. Thank you for your request. We will dispatch a technician to field check this location.,Traffic Sign Maintenance,SIGNTRA1,2025-02-05T20:20:07Z,2025-02-06T13:08:56Z,"Brandt Rd & E Slaughter to Brandt Ramp, Austin",30.15853861,-97.77662804,77ed7295-3ede-457c-bb73-e9ed770fb257,
